Date,HomeTeam,AwayTeam,1,X,2,Result
2023-01-21,Crystal Palace,Newcastle,4.4,3.5,1.85,X
2023-01-21,Southampton,Aston Villa,2.88,3.25,2.55,2
2023-01-21,Liverpool,Chelsea,1.85,3.75,4.0,X
2023-01-22,Leeds,Brentford,2.38,3.6,2.88,X
2023-01-22,Man City,Wolves,1.2,8.0,11.0,1
2023-01-22,Arsenal,Man United,1.8,3.8,4.2,1
2023-01-23,Fulham,Tottenham,3.3,3.6,2.1,2
2023-02-03,Chelsea,Fulham,1.62,4.0,5.25,X
2023-02-04,Brentford,Southampton,1.85,3.6,4.2,1
2023-02-04,Newcastle,West Ham,1.6,3.8,6.0,X
2023-02-04,Wolves,Liverpool,4.0,3.8,1.85,1
2023-02-04,Brighton,Bournemouth,1.33,5.25,8.5,1
2023-02-04,Man United,Crystal Palace,1.4,4.75,8.0,1
2023-02-04,Aston Villa,Leicester,1.95,3.6,3.8,2
2023-02-04,Everton,Arsenal,8.5,4.5,1.4,1
2023-02-05,Nott'm Forest,Leeds,2.63,3.3,2.7,1
2023-02-05,Tottenham,Man City,4.33,4.2,1.73,1
2023-02-08,Man United,Leeds,1.45,5.0,6.0,X
2023-02-11,Southampton,Wolves,2.9,3.2,2.55,2
2023-02-11,West Ham,Chelsea,3.3,3.3,2.25,X
2023-02-11,Arsenal,Brentford,1.44,4.75,7.0,X
2023-02-11,Crystal Palace,Brighton,3.8,3.5,2.0,X
2023-02-11,Fulham,Nott'm Forest,1.91,3.5,4.33,1
2023-02-11,Leicester,Tottenham,3.4,3.6,2.1,1
2023-02-11,Bournemouth,Newcastle,6.5,4.0,1.53,X
2023-02-12,Man City,Aston Villa,1.25,6.5,11.0,1
2023-02-12,Leeds,Man United,3.75,3.8,1.91,2
2023-02-13,Liverpool,Everton,1.5,4.33,6.5,1
2023-02-15,Arsenal,Man City,2.9,3.5,2.35,2
2023-02-18,Wolves,Bournemouth,1.67,3.6,6.0,2
2023-02-18,Newcastle,Liverpool,2.5,3.5,2.7,2
2023-02-18,Everton,Leeds,2.4,3.3,3.0,1
2023-02-18,Nott'm Forest,Man City,8.5,5.5,1.3,X
2023-02-18,Brighton,Fulham,1.65,3.8,5.5,2
2023-02-18,Aston Villa,Arsenal,4.5,3.6,1.5,2
2023-02-18,Chelsea,Southampton,1.4,4.75,8.5,2
2023-02-18,Brentford,Crystal Palace,1.83,3.5,4.5,X
2023-02-19,Man United,Leicester,1.62,4.33,5.25,1
2023-02-19,Tottenham,West Ham,1.75,3.6,4.75,1
2023-02-24,Fulham,Wolves,2.5,3.2,3.0,X
2023-02-25,Everton,Aston Villa,2.5,3.2,3.0,2
2023-02-25,Leeds,Southampton,1.95,3.5,4.0,1
2023-02-25,Leicester,Arsenal,4.75,4.0,1.7,2
2023-02-25,West Ham,Nott'm Forest,1.75,3.6,5.0,1
2023-02-25,Bournemouth,Man City,10.0,5.75,1.29,2
2023-02-25,Crystal Palace,Liverpool,4.75,3.8,1.73,X
2023-02-26,Tottenham,Chelsea,2.55,3.25,2.9,1
